FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
AlGeradif-69_Sudan,OK216672,AlGeradif-69,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-7_Sudan,OK216671,AlGeradif-7,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-70_Sudan,OK216670,AlGeradif-70,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-71_Sudan,OK216669,AlGeradif-71,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-72_Sudan,OK216668,AlGeradif-72,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-73_Sudan,OK216667,AlGeradif-73,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-74_Sudan,OK216666,AlGeradif-74,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-75_Sudan,OK216665,AlGeradif-75,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-76_Sudan,OK216664,AlGeradif-76,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-77_Sudan,OK216663,AlGeradif-77,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-78_Sudan,OK216662,AlGeradif-78,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-79_Sudan,OK216661,AlGeradif-79,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-8_Sudan,OK216660,AlGeradif-8,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-80_Sudan,OK216659,AlGeradif-80,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-81_Sudan,OK216658,AlGeradif-81,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-82_Sudan,OK216657,AlGeradif-82,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-83_Sudan,OK216656,AlGeradif-83,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-84_Sudan,OK216655,AlGeradif-84,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-85_Sudan,OK216654,AlGeradif-85,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-86_Sudan,OK216653,AlGeradif-86,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-87_Sudan,OK216652,AlGeradif-87,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-88_Sudan,OK216651,AlGeradif-88,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-89_Sudan,OK216650,AlGeradif-89,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-9_Sudan,OK216649,AlGeradif-9,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-90_Sudan,OK216648,AlGeradif-90,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-91_Sudan,OK216647,AlGeradif-91,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-92_Sudan,OK216646,AlGeradif-92,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-93_Sudan,OK216645,AlGeradif-93,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-94_Sudan,OK216644,AlGeradif-94,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-95_Sudan,OK216643,AlGeradif-95,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-96_Sudan,OK216642,AlGeradif-96,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGezira1_Sudan,OK216360,AlGezira1,2021,Sudan,NA,Invasive,NA,NA,Al Gezira,NA,NA,NA,NA,NA
Kassala1_Sudan,OK216641,Kassala1,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala10_Sudan,OK216640,Kassala10,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala11_Sudan,OK216639,Kassala11,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala12_Sudan,OK216638,Kassala12,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala13_Sudan,OK216637,Kassala13,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala14_Sudan,OK216636,Kassala14,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala15_Sudan,OK216635,Kassala15,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala16_Sudan,OK216634,Kassala16,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala17_Sudan,OK216633,Kassala17,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala18_Sudan,OK216632,Kassala18,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala19_Sudan,OK216631,Kassala19,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala2_Sudan,OK216630,Kassala2,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala20_Sudan,OK216629,Kassala20,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala21_Sudan,OK216628,Kassala21,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
